region,event_date,actual_month,actual_or_forecast,region_from_file
Ayeyarwady,2022-01-31 23:59:59.999999999,14.0,14.0,Ayeyarwady
Ayeyarwady,2022-02-28 23:59:59.999999999,12.0,12.0,Ayeyarwady
Ayeyarwady,2022-03-31 23:59:59.999999999,9.0,9.0,Ayeyarwady
Ayeyarwady,2022-04-30 23:59:59.999999999,18.0,18.0,Ayeyarwady
Ayeyarwady,2022-05-31 23:59:59.999999999,12.0,12.0,Ayeyarwady
Ayeyarwady,2022-06-30 23:59:59.999999999,6.0,6.0,Ayeyarwady
Ayeyarwady,2022-07-31 23:59:59.999999999,6.0,6.0,Ayeyarwady
Ayeyarwady,2022-08-31 23:59:59.999999999,4.0,4.0,Ayeyarwady
Ayeyarwady,2022-09-30 23:59:59.999999999,4.0,4.0,Ayeyarwady
Ayeyarwady,2022-10-31 23:59:59.999999999,8.0,8.0,Ayeyarwady
Ayeyarwady,2022-11-30 23:59:59.999999999,8.0,8.0,Ayeyarwady
Ayeyarwady,2022-12-31 23:59:59.999999999,4.0,4.0,Ayeyarwady
Ayeyarwady,2023-01-31 23:59:59.999999999,2.0,2.0,Ayeyarwady
Ayeyarwady,2023-02-28 23:59:59.999999999,3.0,3.0,Ayeyarwady
Ayeyarwady,2023-03-31 23:59:59.999999999,2.0,2.0,Ayeyarwady
Ayeyarwady,2023-04-30 23:59:59.999999999,9.0,9.0,Ayeyarwady
Ayeyarwady,2023-05-31 23:59:59.999999999,8.0,8.0,Ayeyarwady
Ayeyarwady,2023-07-31 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2023-08-31 23:59:59.999999999,2.0,2.0,Ayeyarwady
Ayeyarwady,2023-09-30 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2023-10-31 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2023-12-31 23:59:59.999999999,3.0,3.0,Ayeyarwady
Ayeyarwady,2024-01-31 23:59:59.999999999,2.0,2.0,Ayeyarwady
Ayeyarwady,2024-02-29 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-04-30 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-05-31 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-06-30 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-07-31 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-10-31 23:59:59.999999999,1.0,1.0,Ayeyarwady
Ayeyarwady,2024-12-31 23:59:59.999999999,4.0,4.0,Ayeyarwady
Ayeyarwady,2025-01-31 23:59:59.999999999,40.0,40.0,Ayeyarwady
Ayeyarwady,2025-02-28 23:59:59.999999999,29.0,29.0,Ayeyarwady
Ayeyarwady,2025-03-31 23:59:59.999999999,56.0,56.0,Ayeyarwady
Ayeyarwady,2025-04-30 23:59:59.999999999,21.0,21.0,Ayeyarwady
Ayeyarwady,2025-05-31 23:59:59.999999999,26.0,26.0,Ayeyarwady
Ayeyarwady,2025-06-30 23:59:59.999999999,25.0,25.0,Ayeyarwady
Ayeyarwady,2025-07-31 23:59:59.999999999,19.0,19.0,Ayeyarwady
Ayeyarwady,2025-08-31 23:59:59.999999999,10.0,10.0,Ayeyarwady
Ayeyarwady,2025-09-30 00:00:00.000000000,8.0,8.0,Ayeyarwady
Ayeyarwady,2025-10-31 00:00:00.000000000,4.0,4.0,Ayeyarwady
Ayeyarwady,2025-11-30 00:00:00.000000000,6.0,6.0,Ayeyarwady
Bago,2022-01-31 23:59:59.999999999,9.0,9.0,Bago
Bago,2022-02-28 23:59:59.999999999,22.0,22.0,Bago
Bago,2022-03-31 23:59:59.999999999,14.0,14.0,Bago
Bago,2022-04-30 23:59:59.999999999,17.0,17.0,Bago
Bago,2022-05-31 23:59:59.999999999,19.0,19.0,Bago
Bago,2022-06-30 23:59:59.999999999,19.0,19.0,Bago
Bago,2022-07-31 23:59:59.999999999,32.0,32.0,Bago
Bago,2022-08-31 23:59:59.999999999,25.0,25.0,Bago
Bago,2022-09-30 23:59:59.999999999,26.0,26.0,Bago
Bago,2022-10-31 23:59:59.999999999,29.0,29.0,Bago
Bago,2022-11-30 23:59:59.999999999,21.0,21.0,Bago
Bago,2022-12-31 23:59:59.999999999,25.0,25.0,Bago
Bago,2023-01-31 23:59:59.999999999,61.0,61.0,Bago
Bago,2023-02-28 23:59:59.999999999,44.0,44.0,Bago
Bago,2023-03-31 23:59:59.999999999,48.0,48.0,Bago
Bago,2023-04-30 23:59:59.999999999,37.0,37.0,Bago
Bago,2023-05-31 23:59:59.999999999,39.0,39.0,Bago
Bago,2023-06-30 23:59:59.999999999,59.0,59.0,Bago
Bago,2023-07-31 23:59:59.999999999,95.0,95.0,Bago
Bago,2023-08-31 23:59:59.999999999,110.0,110.0,Bago
Bago,2023-09-30 23:59:59.999999999,68.0,68.0,Bago
Bago,2023-10-31 23:59:59.999999999,93.0,93.0,Bago
Bago,2023-11-30 23:59:59.999999999,98.0,98.0,Bago
Bago,2023-12-31 23:59:59.999999999,163.0,163.0,Bago
Bago,2024-01-31 23:59:59.999999999,128.0,128.0,Bago
Bago,2024-02-29 23:59:59.999999999,92.0,92.0,Bago
Bago,2024-03-31 23:59:59.999999999,117.0,117.0,Bago
Bago,2024-04-30 23:59:59.999999999,61.0,61.0,Bago
Bago,2024-05-31 23:59:59.999999999,63.0,63.0,Bago
Bago,2024-06-30 23:59:59.999999999,73.0,73.0,Bago
Bago,2024-07-31 23:59:59.999999999,36.0,36.0,Bago
Bago,2024-08-31 23:59:59.999999999,106.0,106.0,Bago
Bago,2024-09-30 23:59:59.999999999,61.0,61.0,Bago
Bago,2024-10-31 23:59:59.999999999,93.0,93.0,Bago
Bago,2024-11-30 23:59:59.999999999,120.0,120.0,Bago
Bago,2024-12-31 23:59:59.999999999,121.0,121.0,Bago
Bago,2025-01-31 23:59:59.999999999,71.0,71.0,Bago
Bago,2025-02-28 23:59:59.999999999,79.0,79.0,Bago
Bago,2025-03-31 23:59:59.999999999,95.0,95.0,Bago
Bago,2025-04-30 23:59:59.999999999,109.0,109.0,Bago
Bago,2025-05-31 23:59:59.999999999,96.0,96.0,Bago
Bago,2025-06-30 23:59:59.999999999,104.0,104.0,Bago
Bago,2025-07-31 23:59:59.999999999,74.0,74.0,Bago
Bago,2025-08-31 23:59:59.999999999,88.0,88.0,Bago
Bago,2025-09-30 00:00:00.000000000,73.0,73.0,Bago
Bago,2025-10-31 00:00:00.000000000,69.0,69.0,Bago
Bago,2025-11-30 00:00:00.000000000,61.0,61.0,Bago
Chin,2022-01-31 23:59:59.999999999,67.0,67.0,Chin
Chin,2022-02-28 23:59:59.999999999,29.0,29.0,Chin
Chin,2022-03-31 23:59:59.999999999,39.0,39.0,Chin
Chin,2022-04-30 23:59:59.999999999,26.0,26.0,Chin
Chin,2022-05-31 23:59:59.999999999,26.0,26.0,Chin
Chin,2022-06-30 23:59:59.999999999,22.0,22.0,Chin
Chin,2022-07-31 23:59:59.999999999,25.0,25.0,Chin
Chin,2022-08-31 23:59:59.999999999,36.0,36.0,Chin
Chin,2022-09-30 23:59:59.999999999,26.0,26.0,Chin
Chin,2022-10-31 23:59:59.999999999,24.0,24.0,Chin
Chin,2022-11-30 23:59:59.999999999,20.0,20.0,Chin
Chin,2022-12-31 23:59:59.999999999,4.0,4.0,Chin
Chin,2023-01-31 23:59:59.999999999,25.0,25.0,Chin
Chin,2023-02-28 23:59:59.999999999,19.0,19.0,Chin
Chin,2023-03-31 23:59:59.999999999,33.0,33.0,Chin
Chin,2023-04-30 23:59:59.999999999,41.0,41.0,Chin
Chin,2023-05-31 23:59:59.999999999,26.0,26.0,Chin
Chin,2023-06-30 23:59:59.999999999,22.0,22.0,Chin
Chin,2023-07-31 23:59:59.999999999,40.0,40.0,Chin
Chin,2023-08-31 23:59:59.999999999,17.0,17.0,Chin
Chin,2023-09-30 23:59:59.999999999,15.0,15.0,Chin
Chin,2023-10-31 23:59:59.999999999,7.0,7.0,Chin
Chin,2023-11-30 23:59:59.999999999,40.0,40.0,Chin
Chin,2023-12-31 23:59:59.999999999,46.0,46.0,Chin
Chin,2024-01-31 23:59:59.999999999,54.0,54.0,Chin
Chin,2024-02-29 23:59:59.999999999,16.0,16.0,Chin
Chin,2024-03-31 23:59:59.999999999,26.0,26.0,Chin
Chin,2024-04-30 23:59:59.999999999,26.0,26.0,Chin
Chin,2024-05-31 23:59:59.999999999,31.0,31.0,Chin
Chin,2024-06-30 23:59:59.999999999,24.0,24.0,Chin
Chin,2024-07-31 23:59:59.999999999,30.0,30.0,Chin
Chin,2024-08-31 23:59:59.999999999,17.0,17.0,Chin
Chin,2024-09-30 23:59:59.999999999,15.0,15.0,Chin
Chin,2024-10-31 23:59:59.999999999,24.0,24.0,Chin
Chin,2024-11-30 23:59:59.999999999,48.0,48.0,Chin
Chin,2024-12-31 23:59:59.999999999,26.0,26.0,Chin
Chin,2025-01-31 23:59:59.999999999,8.0,8.0,Chin
Chin,2025-02-28 23:59:59.999999999,5.0,5.0,Chin
Chin,2025-03-31 23:59:59.999999999,11.0,11.0,Chin
Chin,2025-04-30 23:59:59.999999999,19.0,19.0,Chin
